timestamp_utc,service,scenario,original_query,rewritten_query,excluded_terms,rewrite_error,use_llm,llm_model,llm_max_tokens,temperature,scoring_profile,min_score,limit,candidate_limit,rewrite_ms,search_ms,request_ms,rewrite_query_id,search_query_id,rewrite_total_elapsed_ms,search_total_elapsed_ms,request_total_elapsed_ms,rewrite_cost_total_credits,search_cost_total_credits,request_cost_total_credits,rewrite_cost_cloud_services_credits,search_cost_cloud_services_credits,rewrite_cost_compute_credits,search_cost_compute_credits,rewrite_cost_query_accel_credits,search_cost_query_accel_credits,include_tags_raw,include_tags_matched,include_tags_unknown,supported_languages_raw,supported_languages_matched,supported_languages_unknown,release_year_raw,release_year_matched,attribute_filters_enabled,attribute_filter_tags,attribute_filter_supported_languages,attribute_filter_release_year,result_count,result_count_after_limit
2026-02-10T00:09:05+00:00,CORTEX_DB.RAW.CAT_GAMES_SVC_1_5,default,"cozy cat cafe management sim, but NOT a visual novel, NOT anime, avoid paid games","cozy cat cafe management sim, but NOT a visual novel, NOT anime, avoid paid games",[],,False,,,,reranker_heavy,0.65,10,100,0,450,450,,01c24ec9-0005-07c5-0001-397a000406fe,,34,34,,5e-06,5e-06,,5e-06,,,,,[],[],[],[],[],[],,,True,[],[],,100,10
2026-02-10T00:09:06+00:00,CORTEX_DB.RAW.CAT_GAMES_SVC_1_5,default,"cozy cat cafe management sim, but NOT a visual novel, NOT anime, avoid paid games","cozy cat cafe management sim, but NOT a visual novel, NOT anime, avoid paid games",[],,False,,,,reranker_heavy,0.75,10,100,0,446,446,,01c24ec9-0005-07a7-0001-397a0003eb1e,,30,30,,4e-06,4e-06,,4e-06,,,,,[],[],[],[],[],[],,,True,[],[],,41,10
2026-02-10T00:09:07+00:00,CORTEX_DB.RAW.CAT_GAMES_SVC_1_5,default,"cozy cat cafe management sim, but NOT a visual novel, NOT anime, avoid paid games","cozy cat cafe management sim, but NOT a visual novel, NOT anime, avoid paid games",[],,False,,,,reranker_heavy,0.85,10,100,0,446,446,,01c24ec9-0005-07c5-0001-397a0004070a,,39,39,,6e-06,6e-06,,6e-06,,,,,[],[],[],[],[],[],,,True,[],[],,0,0
2026-02-10T00:09:08+00:00,CORTEX_DB.RAW.CAT_GAMES_SVC_1_5,default,"third-person cat adventure in a city, no horror, no gore","third-person cat adventure in a city, no horror, no gore",[],,False,,,,balanced_default,0.3,10,100,0,556,556,,01c24ec9-0005-07a7-0001-397a0003eb2a,,28,28,,4e-06,4e-06,,4e-06,,,,,[],[],[],[],[],[],,,True,[],[],,100,10
2026-02-10T00:09:09+00:00,CORTEX_DB.RAW.CAT_GAMES_SVC_1_5,default,"third-person cat adventure in a city, no horror, no gore","third-person cat adventure in a city, no horror, no gore",[],,False,,,,balanced_default,0.65,10,100,0,442,442,,01c24ec9-0005-07f0-0001-397a0003f642,,34,34,,5e-06,5e-06,,5e-06,,,,,[],[],[],[],[],[],,,True,[],[],,100,10
2026-02-10T00:09:10+00:00,CORTEX_DB.RAW.CAT_GAMES_SVC_1_5,default,"third-person cat adventure in a city, no horror, no gore","third-person cat adventure in a city, no horror, no gore",[],,False,,,,balanced_default,0.75,10,100,0,478,478,,01c24ec9-0005-07f0-0001-397a0003f646,,32,32,,5e-06,5e-06,,5e-06,,,,,[],[],[],[],[],[],,,True,[],[],,13,10
2026-02-10T00:09:11+00:00,CORTEX_DB.RAW.CAT_GAMES_SVC_1_5,default,"third-person cat adventure in a city, no horror, no gore","third-person cat adventure in a city, no horror, no gore",[],,False,,,,balanced_default,0.85,10,100,0,477,477,,01c24ec9-0005-07a7-0001-397a0003eb36,,28,28,,4e-06,4e-06,,4e-06,,,,,[],[],[],[],[],[],,,True,[],[],,0,0
2026-02-10T00:09:12+00:00,CORTEX_DB.RAW.CAT_GAMES_SVC_1_5,default,"third-person cat adventure in a city, no horror, no gore","third-person cat adventure in a city, no horror, no gore",[],,False,,,,keyword_focus,0.3,10,100,0,482,482,,01c24ec9-0005-07a7-0001-397a0003eb3a,,30,30,,4e-06,4e-06,,4e-06,,,,,[],[],[],[],[],[],,,True,[],[],,100,10
2026-02-10T00:09:13+00:00,CORTEX_DB.RAW.CAT_GAMES_SVC_1_5,default,"third-person cat adventure in a city, no horror, no gore","third-person cat adventure in a city, no horror, no gore",[],,False,,,,keyword_focus,0.65,10,100,0,508,508,,01c24ec9-0005-07ef-0001-397a00041246,,41,41,,6e-06,6e-06,,6e-06,,,,,[],[],[],[],[],[],,,True,[],[],,100,10
2026-02-10T00:09:16+00:00,CORTEX_DB.RAW.CAT_GAMES_SVC_1_5,default,"third-person cat adventure in a city, no horror, no gore","third-person cat adventure in a city, no horror, no gore",[],,False,,,,keyword_focus,0.75,10,100,0,501,501,,01c24ec9-0005-07c5-0001-397a0004071a,,51,51,,8e-06,8e-06,,8e-06,,,,,[],[],[],[],[],[],,,True,[],[],,13,10
2026-02-10T00:09:17+00:00,CORTEX_DB.RAW.CAT_GAMES_SVC_1_5,default,"third-person cat adventure in a city, no horror, no gore","third-person cat adventure in a city, no horror, no gore",[],,False,,,,keyword_focus,0.85,10,100,0,501,501,,01c24ec9-0005-07f0-0001-397a0003f652,,62,62,,9e-06,9e-06,,9e-06,,,,,[],[],[],[],[],[],,,True,[],[],,0,0
2026-02-10T00:09:18+00:00,CORTEX_DB.RAW.CAT_GAMES_SVC_1_5,default,"third-person cat adventure in a city, no horror, no gore","third-person cat adventure in a city, no horror, no gore",[],,False,,,,semantic_focus,0.3,10,100,0,504,504,,01c24ec9-0005-07ef-0001-397a0004124e,,28,28,,4e-06,4e-06,,4e-06,,,,,[],[],[],[],[],[],,,True,[],[],,100,10
2026-02-10T00:09:19+00:00,CORTEX_DB.RAW.CAT_GAMES_SVC_1_5,default,"third-person cat adventure in a city, no horror, no gore","third-person cat adventure in a city, no horror, no gore",[],,False,,,,semantic_focus,0.65,10,100,0,505,505,,01c24ec9-0005-07ef-0001-397a00041256,,29,29,,4e-06,4e-06,,4e-06,,,,,[],[],[],[],[],[],,,True,[],[],,100,10
2026-02-10T00:09:20+00:00,CORTEX_DB.RAW.CAT_GAMES_SVC_1_5,default,"third-person cat adventure in a city, no horror, no gore","third-person cat adventure in a city, no horror, no gore",[],,False,,,,semantic_focus,0.75,10,100,0,552,552,,01c24ec9-0005-07ef-0001-397a0004125a,,28,28,,4e-06,4e-06,,4e-06,,,,,[],[],[],[],[],[],,,True,[],[],,13,10
2026-02-10T00:09:21+00:00,CORTEX_DB.RAW.CAT_GAMES_SVC_1_5,default,"third-person cat adventure in a city, no horror, no gore","third-person cat adventure in a city, no horror, no gore",[],,False,,,,semantic_focus,0.85,10,100,0,503,503,,01c24ec9-0005-07f0-0001-397a0003f666,,38,38,,6e-06,6e-06,,6e-06,,,,,[],[],[],[],[],[],,,True,[],[],,0,0
2026-02-10T00:09:22+00:00,CORTEX_DB.RAW.CAT_GAMES_SVC_1_5,default,"third-person cat adventure in a city, no horror, no gore","third-person cat adventure in a city, no horror, no gore",[],,False,,,,keyword_extreme,0.3,10,100,0,424,424,,01c24ec9-0005-07f0-0001-397a0003f66e,,35,35,,5e-06,5e-06,,5e-06,,,,,[],[],[],[],[],[],,,True,[],[],,100,10
